,Базовий,Акцент на ресурси,Акцент на виходи,Акцент на екосистему,Рівномірний
Базовий,1.0,0.9549,0.9788,0.9069,0.9965
Акцент на ресурси,0.9549,1.0,0.9285,0.7688,0.9541
Акцент на виходи,0.9788,0.9285,1.0,0.8405,0.9581
Акцент на екосистему,0.9069,0.7688,0.8405,1.0,0.9231
Рівномірний,0.9965,0.9541,0.9581,0.9231,1.0
