Component,Explained_Variance,Cumulative_Variance
PC1,39.01013588646309,39.01013588646309
PC2,21.18818603880357,60.19832192526666
PC3,15.213162327521218,75.41148425278787
PC4,12.656223647633702,88.06770790042158
PC5,8.803090002211626,96.8707979026332
PC6,3.129202097366785,99.99999999999999
